take_profit_percent,stop_loss_percent,final_balance,pnl,closed_trades
0.7,2.0,9843.781560746778,-156.21843925322173,600
0.8,2.0,9875.895948252803,-124.10405174719745,585
0.9,2.0,9908.934277166249,-91.06572283375135,573
1.0,2.0,9942.269322238757,-57.73067776124299,568
1.1,2.0,9928.121292938029,-71.878707061971,566
1.2,2.0,9955.201227483989,-44.79877251601101,555
1.3,2.0,9951.489620283342,-48.51037971665755,550
1.4,2.0,9950.927640644022,-49.072359355977824,547
1.5,2.0,9932.209632895057,-67.79036710494256,543
