open_date,close_date,open_price,close_price,size,pnl,commission,pnl_after_commission
2025-04-02 22:44:00,2025-04-02 22:57:00,119.41000000000001,118.39,24.0,-96.54000000000028,10.0413,-106.58130000000028
2025-04-02 23:06:00,2025-04-02 23:56:00,118.66000000000001,117.7,6.0,-5.760000000000048,1.41816,-7.178160000000048
2025-04-03 00:05:00,2025-04-03 00:17:00,116.55,118.43,6.0,11.280000000000058,1.4098800000000002,9.870120000000057
2025-04-04 10:25:00,2025-04-04 11:15:00,116.48,115.08999999999999,6.0,-8.340000000000003,1.38942,-9.729420000000003
2025-04-04 11:27:00,2025-04-04 12:17:00,114.03000000000002,115.21999999999998,6.0,7.139999999999901,1.3755000000000002,5.7644999999999005
2025-04-06 18:30:00,2025-04-06 18:35:00,107.83,108.82,24.0,0.1199999999998056,9.14076,-9.020760000000195
2025-04-06 23:20:00,2025-04-06 23:41:00,104.66000000000001,106.28000000000002,6.0,9.719999999999942,1.2656399999999999,8.454359999999943
2025-04-07 03:48:00,2025-04-07 04:38:00,102.65000000000002,102.99,6.0,2.03999999999985,1.2338399999999998,0.8061599999998501
2025-04-07 06:55:00,2025-04-07 07:07:00,95.71999999999998,97.81000000000002,24.0,61.26000000000013,8.154780000000002,53.10522000000013
2025-04-07 16:54:00,2025-04-07 17:17:00,104.17,105.89,6.0,10.319999999999993,1.26036,9.059639999999993
2025-04-08 14:57:00,2025-04-08 15:47:00,107.96999999999998,107.52,6.0,-2.699999999999932,1.29294,-3.9929399999999315
2025-04-08 17:28:00,2025-04-08 17:31:00,103.03000000000002,103.96,12.0,7.139999999999901,3.7354200000000004,3.4045799999999007
2025-04-09 01:14:00,2025-04-09 02:01:00,102.79,105.07,6.0,13.679999999999922,1.24716,12.43283999999992
2025-04-09 11:45:00,2025-04-09 12:35:00,103.07,102.82,6.0,-1.5,1.2353399999999999,-2.73534
2025-04-10 15:40:00,2025-04-10 16:30:00,109.71999999999998,109.02,6.0,-4.199999999999932,1.31244,-5.512439999999932
2025-04-13 19:43:00,2025-04-13 20:14:00,127.63,129.57,6.0,11.639999999999986,1.5432000000000001,10.096799999999986
2025-04-14 15:46:00,2025-04-14 16:36:00,128.94,129.25,6.0,1.8600000000000136,1.54914,0.3108600000000137
2025-04-16 17:50:00,2025-04-16 18:27:00,126.38,128.54,6.0,12.95999999999998,1.5295199999999998,11.43047999999998
